"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees<sup>*</sup>","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations<sup>**</sup>","Total refugees and people in refugee-like situations assisted by UNHCR"
"Japan","Turkey","2013","19","6","19","6"
"Japan","Various","2013","224","195","224","195"
"Japan","Viet Nam","2013","212","4","212","4"
"Jordan","Afghanistan","2013","7","7","7","7"
"Jordan","Algeria","2013","2","2","2","2"
"Jordan","Bosnia and Herzegovina","2013","10","10","10","10"
"Jordan","Chad","2013","3","3","3","3"
"Jordan","Djibouti","2013","0","0","0","0"
"Jordan","Egypt","2013","36","36","36","36"
"Jordan","Eritrea","2013","9","9","9","9"
"Jordan","Ethiopia","2013","1","1","1","1"
"Jordan","Indonesia","2013","1","1","1","1"
"Jordan","Iraq","2013","55509","20286","55509","20286"
"Jordan","Islamic Rep. of Iran","2013","1","1","1","1"
"Jordan","Kuwait","2013","2","2","2","2"
"Jordan","Lebanon","2013","1","1","1","1"
"Jordan","Morocco","2013","1","1","1","1"
"Jordan","Oman","2013","1","1","1","1"
"Jordan","Philippines","2013","1","1","1","1"
"Jordan","Russian Federation","2013","26","26","26","26"
"Jordan","Somalia","2013","486","486","486","486"
"Jordan","Sri Lanka","2013","3","3","3","3"
"Jordan","Stateless","2013","28","28","28","28"
"Jordan","Sudan","2013","474","474","474","474"
"Jordan","Syrian Arab Rep.","2013","585304","585304","585304","585304"
"Jordan","Tunisia","2013","5","5","5","5"
"Jordan","Turkey","2013","2","2","2","2"
"Jordan","Uganda","2013","1","1","1","1"
"Jordan","Yemen","2013","1","1","1","1"
"Kazakhstan","Afghanistan","2013","537","537","537","537"
"Kazakhstan","China","2013","16","16","16","16"
"Kazakhstan","Egypt","2013","1","1","1","1"
"Kazakhstan","Ethiopia","2013","1","1","1","1"
"Kazakhstan","Iraq","2013","0","0","0","0"
"Kazakhstan","Somalia","2013","1","1","1","1"
"Kazakhstan","State of Palestine","2013","1","1","1","1"
"Kazakhstan","Syrian Arab Rep.","2013","7","7","7","7"
"Kazakhstan","Uzbekistan","2013","20","20","20","20"
"Kenya","Afghanistan","2013","5","5","5","5"
"Kenya","Burundi","2013","1167","1167","1167","1167"
"Kenya","Cameroon","2013","3","3","3","3"
"Kenya","Central African Rep.","2013","0","0","0","0"
"Kenya","Congo","2013","2","2","2","2"
"Kenya","Côte d'Ivoire","2013","3","3","3","3"
"Kenya","Dem. Rep. of the Congo","2013","8076","8076","8076","8076"
"Kenya","Djibouti","2013","2","2","2","2"
"Kenya","Egypt","2013","5","5","5","5"
"Kenya","Eritrea","2013","1432","1432","1432","1432"
"Kenya","Ethiopia","2013","23524","23524","23524","23524"
"Kenya","Ghana","2013","0","0","0","0"
"Kenya","Iraq","2013","1","1","1","1"
"Kenya","Islamic Rep. of Iran","2013","6","6","6","6"
"Kenya","Liberia","2013","0","0","0","0"
"Kenya","Mozambique","2013","5","5","5","5"
"Kenya","Nigeria","2013","2","2","2","2"
"Kenya","Pakistan","2013","5","5","5","5"
"Kenya","Rwanda","2013","931","931","931","931"
"Kenya","Somalia","2013","475304","475304","475304","475304"
"Kenya","South Africa","2013","1","1","1","1"
"Kenya","South Sudan","2013","19930","19930","19930","19930"
"Kenya","Sri Lanka","2013","15","15","15","15"
"Kenya","State of Palestine","2013","1","1","1","1"
"Kenya","Sudan","2013","3907","3907","3907","3907"
"Kenya","Uganda","2013","602","602","602","602"
"Kenya","United Rep. of Tanzania","2013","6","6","6","6"
"Kenya","Zimbabwe","2013","3","3","3","3"
"Kuwait","Egypt","2013","5","5","5","5"
"Kuwait","Eritrea","2013","5","5","5","5"
"Kuwait","Iraq","2013","439","439","439","439"
"Kuwait","Islamic Rep. of Iran","2013","16","16","16","16"
"Kuwait","Jordan","2013","4","4","4","4"
"Kuwait","Lebanon","2013","5","5","5","5"
"Kuwait","Morocco","2013","2","2","2","2"
"Kuwait","Somalia","2013","119","119","119","119"
"Kuwait","Sri Lanka","2013","1","1","1","1"
"Kuwait","State of Palestine","2013","6","6","6","6"
"Kuwait","Syrian Arab Rep.","2013","13","13","13","13"
"Kuwait","Various","2013","20","20","20","20"
"Kyrgyzstan","Afghanistan","2013","405","405","405","405"
"Kyrgyzstan","Dem. People's Rep. of Korea","2013","0","0","0","0"
"Kyrgyzstan","Islamic Rep. of Iran","2013","3","3","3","3"
"Kyrgyzstan","Syrian Arab Rep.","2013","14","14","14","14"
"Kyrgyzstan","Uzbekistan","2013","44","44","44","44"
"Latvia","Afghanistan","2013","28","0","28","0"
"Latvia","Azerbaijan","2013","5","0","5","0"
"Latvia","Belarus","2013","7","0","7","0"
"Latvia","Colombia","2013","1","0","1","0"
"Latvia","Côte d'Ivoire","2013","1","0","1","0"
"Latvia","Cuba","2013","2","0","2","0"
"Latvia","Dem. Rep. of the Congo","2013","1","0","1","0"
"Latvia","Egypt","2013","3","0","3","0"
"Latvia","Ghana","2013","2","0","2","0"
"Latvia","Iraq","2013","5","0","5","0"
"Latvia","Islamic Rep. of Iran","2013","19","0","19","0"
"Latvia","Kenya","2013","2","0","2","0"
"Latvia","Kyrgyzstan","2013","5","0","5","0"
"Latvia","Nigeria","2013","1","0","1","0"
"Latvia","Pakistan","2013","3","0","3","0"
"Latvia","Russian Federation","2013","14","0","14","0"
"Latvia","Somalia","2013","7","0","7","0"
"Latvia","Sri Lanka","2013","2","0","2","0"
"Latvia","State of Palestine","2013","5","0","5","0"
"Latvia","Sudan","2013","1","0","1","0"
"Latvia","Syrian Arab Rep.","2013","33","0","33","0"
"Latvia","Turkey","2013","1","0","1","0"
"Latvia","Ukraine","2013","1","0","1","0"
"Latvia","Uzbekistan","2013","11","0","11","0"
"Lebanon","Afghanistan","2013","16","16","16","16"
"Lebanon","Algeria","2013","0","0","0","0"
"Lebanon","Armenia","2013","0","0","0","0"
"Lebanon","Bahrain","2013","0","0","0","0"
"Lebanon","Bangladesh","2013","0","0","0","0"
"Lebanon","Canada","2013","0","0","0","0"
"Lebanon","Dem. Rep. of the Congo","2013","3","3","3","3"
"Lebanon","Egypt","2013","28","28","28","28"
"Lebanon","Eritrea","2013","2","2","2","2"
"Lebanon","Ethiopia","2013","1","1","1","1"
"Lebanon","Ghana","2013","2","2","2","2"
"Lebanon","Iraq","2013","4944","4944","4944","4944"
"Lebanon","Islamic Rep. of Iran","2013","9","9","9","9"
"Lebanon","Jordan","2013","14","14","14","14"
"Lebanon","Libya","2013","5","5","5","5"
"Lebanon","Madagascar","2013","0","0","0","0"
"Lebanon","Mali","2013","0","0","0","0"
"Lebanon","Morocco","2013","0","0","0","0"
"Lebanon","Nigeria","2013","1","1","1","1"
"Lebanon","Oman","2013","1","1","1","1"
"Lebanon","Philippines","2013","0","0","0","0"
"Lebanon","Romania","2013","0","0","0","0"
"Lebanon","Russian Federation","2013","0","0","0","0"
"Lebanon","Saudi Arabia","2013","2","2","2","2"
"Lebanon","Somalia","2013","33","33","33","33"
"Lebanon","Sri Lanka","2013","0","0","0","0"
"Lebanon","State of Palestine","2013","3","3","3","3"
"Lebanon","Stateless","2013","0","0","0","0"
"Lebanon","Sudan","2013","177","177","177","177"
"Lebanon","Sweden","2013","0","0","0","0"
"Lebanon","Syrian Arab Rep.","2013","851284","851284","851284","851284"
"Lebanon","Tunisia","2013","9","9","9","9"
"Lebanon","Turkey","2013","10","10","10","10"
"Lebanon","Ukraine","2013","0","0","0","0"
"Lebanon","United States","2013","0","0","0","0"
"Lebanon","Uzbekistan","2013","0","0","0","0"
"Lebanon","Yemen","2013","2","2","2","2"
"Lesotho","Algeria","2013","8","0","8","0"
"Lesotho","Dem. Rep. of the Congo","2013","10","0","10","0"
"Lesotho","Eritrea","2013","2","0","2","0"
"Lesotho","Ethiopia","2013","0","0","0","0"
"Lesotho","Rwanda","2013","1","0","1","0"
"Lesotho","Tunisia","2013","0","0","0","0"
"Lesotho","Uganda","2013","3","0","3","0"
"Lesotho","Zimbabwe","2013","6","0","6","0"
"Liberia","Algeria","2013","1","1","1","1"
"Liberia","Burkina Faso","2013","0","0","4","4"
"Liberia","Cambodia","2013","1","1","1","1"
"Liberia","Côte d'Ivoire","2013","52786","52786","52786","52786"
"Liberia","Dem. Rep. of the Congo","2013","14","14","14","14"
"Liberia","Eritrea","2013","1","1","1","1"
"Liberia","Ethiopia","2013","1","1","1","1"
"Liberia","Gambia","2013","1","1","1","1"
"Liberia","Ghana","2013","0","0","2","2"
"Liberia","Guinea","2013","25","25","25","25"
"Liberia","Iraq","2013","3","3","3","3"
"Liberia","Mali","2013","5","5","5","5"
"Liberia","Mauritania","2013","1","1","1","1"
"Liberia","Nigeria","2013","0","0","1","1"
"Liberia","Pakistan","2013","1","1","1","1"
"Liberia","Rwanda","2013","1","1","1","1"
"Liberia","Sierra Leone","2013","375","375","375","375"
"Liberia","Somalia","2013","1","1","1","1"
"Liberia","State of Palestine","2013","3","3","3","3"
"Liberia","Sudan","2013","14","14","14","14"
"Liberia","Togo","2013","9","9","10","10"
"Liberia","Uganda","2013","2","2","2","2"
"Libya","Algeria","2013","6","6","6","6"
"Libya","Cameroon","2013","1","1","1","1"
"Libya","Chad","2013","20","20","20","20"
"Libya","Côte d'Ivoire","2013","5","5","5","5"
"Libya","Dem. Rep. of the Congo","2013","31","31","31","31"
"Libya","Egypt","2013","3","3","3","3"
"Libya","Eritrea","2013","480","480","480","480"
"Libya","Ethiopia","2013","23","23","23","23"
"Libya","Iraq","2013","2530","2530","2530","2530"
"Libya","Liberia","2013","32","32","32","32"
"Libya","Somalia","2013","167","167","167","167"
"Libya","State of Palestine","2013","4815","4815","4815","4815"
"Libya","Sudan","2013","651","651","651","651"
"Libya","Syrian Arab Rep.","2013","16796","16796","16796","16796"
"Libya","Togo","2013","1","1","1","1"
"Liechtenstein","Armenia","2013","8","0","8","0"
"Liechtenstein","China","2013","7","0","7","0"
"Liechtenstein","Eritrea","2013","14","0","14","0"
"Liechtenstein","Ethiopia","2013","1","0","1","0"
"Liechtenstein","Iraq","2013","3","0","3","0"
"Liechtenstein","Islamic Rep. of Iran","2013","2","0","2","0"
"Liechtenstein","Serbia (and Kosovo: S/RES/1244 (1999))","2013","36","0","36","0"
"Liechtenstein","Somalia","2013","26","0","26","0"
"Lithuania","Afghanistan","2013","154","0","154","0"
"Lithuania","Armenia","2013","3","0","3","0"
"Lithuania","Azerbaijan","2013","3","0","3","0"
"Lithuania","Belarus","2013","30","0","30","0"
"Lithuania","Cameroon","2013","5","0","5","0"
"Lithuania","Côte d'Ivoire","2013","1","0","1","0"
"Lithuania","Cuba","2013","3","0","3","0"
"Lithuania","Dem. Rep. of the Congo","2013","1","0","1","0"
"Lithuania","Eritrea","2013","10","0","10","0"
"Lithuania","Ethiopia","2013","3","0","3","0"
"Lithuania","Georgia","2013","3","0","3","0"
"Lithuania","Iraq","2013","18","0","18","0"
"Lithuania","Islamic Rep. of Iran","2013","6","0","6","0"
"Lithuania","Israel","2013","2","0","2","0"
"Lithuania","Nigeria","2013","4","0","4","0"
"Lithuania","Pakistan","2013","4","0","4","0"
"Lithuania","Russian Federation","2013","585","0","585","0"
"Lithuania","Somalia","2013","22","0","22","0"
"Lithuania","Sri Lanka","2013","7","0","7","0"
"Lithuania","Stateless","2013","7","0","7","0"
"Lithuania","Syrian Arab Rep.","2013","18","0","18","0"
"Lithuania","Tajikistan","2013","2","0","2","0"
"Lithuania","Togo","2013","1","0","1","0"
"Lithuania","Ukraine","2013","6","0","6","0"
"Lithuania","Uzbekistan","2013","15","0","15","0"
"Lithuania","Viet Nam","2013","1","0","1","0"
"Lithuania","Yemen","2013","1","0","1","0"
"Lithuania","Zimbabwe","2013","1","0","1","0"
"Luxembourg","Afghanistan","2013","32","0","32","0"
"Luxembourg","Albania","2013","35","0","35","0"
"Luxembourg","Angola","2013","23","0","23","0"
"Luxembourg","Armenia","2013","2","0","2","0"
"Luxembourg","Azerbaijan","2013","7","0","7","0"
"Luxembourg","Belarus","2013","4","0","4","0"
"Luxembourg","Bhutan","2013","2","0","2","0"
"Luxembourg","Bosnia and Herzegovina","2013","15","0","15","0"
"Luxembourg","Burundi","2013","8","0","8","0"
"Luxembourg","Cameroon","2013","5","0","5","0"
"Luxembourg","Chad","2013","3","0","3","0"
"Luxembourg","China","2013","3","0","3","0"
"Luxembourg","Comoros","2013","2","0","2","0"
"Luxembourg","Congo","2013","1","0","1","0"
"Luxembourg","Côte d'Ivoire","2013","6","0","6","0"
"Luxembourg","Croatia","2013","1","0","1","0"
"Luxembourg","Dem. People's Rep. of Korea","2013","6","0","6","0"
"Luxembourg","Dem. Rep. of the Congo","2013","31","0","31","0"
"Luxembourg","Eritrea","2013","7","0","7","0"
"Luxembourg","Ethiopia","2013","19","0","19","0"
"Luxembourg","Gambia","2013","2","0","2","0"
"Luxembourg","Georgia","2013","1","0","1","0"
"Luxembourg","Ghana","2013","1","0","1","0"
"Luxembourg","Greece","2013","1","0","1","0"
"Luxembourg","Guinea","2013","8","0","8","0"
"Luxembourg","Iraq","2013","85","0","85","0"
"Luxembourg","Islamic Rep. of Iran","2013","98","0","98","0"
"Luxembourg","Israel","2013","3","0","3","0"
"Luxembourg","Lebanon","2013","1","0","1","0"
"Luxembourg","Liberia","2013","9","0","9","0"
"Luxembourg","Libya","2013","4","0","4","0"
"Luxembourg","Mexico","2013","5","0","5","0"
"Luxembourg","Mongolia","2013","6","0","6","0"
"Luxembourg","Montenegro","2013","46","0","46","0"
"Luxembourg","Nepal","2013","1","0","1","0"
"Luxembourg","Nigeria","2013","42","0","42","0"
"Luxembourg","Pakistan","2013","1","0","1","0"
"Luxembourg","Rep. of Moldova","2013","2","0","2","0"
"Luxembourg","Russian Federation","2013","37","0","37","0"
"Luxembourg","Rwanda","2013","2","0","2","0"
"Luxembourg","Serbia (and Kosovo: S/RES/1244 (1999))","2013","214","0","214","0"
"Luxembourg","Sierra Leone","2013","1","0","1","0"
"Luxembourg","Somalia","2013","25","0","25","0"
"Luxembourg","Stateless","2013","1","0","1","0"
"Luxembourg","Syrian Arab Rep.","2013","20","0","20","0"
"Luxembourg","The former Yugoslav Rep. of Macedonia","2013","4","0","4","0"
"Luxembourg","Togo","2013","12","0","12","0"
"Luxembourg","Tunisia","2013","3","0","3","0"
"Luxembourg","Turkey","2013","9","0","9","0"
"Luxembourg","Various","2013","2017","0","2017","0"
"Madagascar","Dem. Rep. of the Congo","2013","1","1","1","1"
"Madagascar","Ethiopia","2013","0","0","0","0"
"Madagascar","Pakistan","2013","6","6","6","6"
"Madagascar","Rwanda","2013","1","1","1","1"
"Madagascar","State of Palestine","2013","4","4","4","4"
"Madagascar","United Rep. of Tanzania","2013","0","0","0","0"
"Malawi","Burundi","2013","1325","1325","1325","1325"
"Malawi","Dem. Rep. of the Congo","2013","2485","2485","2485","2485"
"Malawi","Ethiopia","2013","1","1","1","1"
"Malawi","Rwanda","2013","1935","1935","1935","1935"
"Malawi","Somalia","2013","49","49","49","49"
"Malawi","South Africa","2013","0","0","0","0"
"Malawi","Sudan","2013","1","1","1","1"
"Malawi","Zimbabwe","2013","0","0","0","0"
"Malaysia","Afghanistan","2013","187","187","187","187"
"Malaysia","Bangladesh","2013","11","11","14","14"
"Malaysia","Bhutan","2013","2","2","2","2"
"Malaysia","Cambodia","2013","27","27","61","61"
"Malaysia","Cameroon","2013","2","2","2","2"
"Malaysia","Chad","2013","0","0","0","0"
"Malaysia","China","2013","59","59","59","59"
"Malaysia","Congo","2013","0","0","0","0"
"Malaysia","Côte d'Ivoire","2013","3","3","3","3"
"Malaysia","Dem. Rep. of the Congo","2013","10","10","10","10"
"Malaysia","Egypt","2013","0","0","0","0"
"Malaysia","Eritrea","2013","5","5","5","5"
"Malaysia","Ethiopia","2013","5","5","5","5"
"Malaysia","Fiji","2013","2","2","2","2"
"Malaysia","Guinea","2013","2","2","2","2"
"Malaysia","Indonesia","2013","149","143","714","708"
"Malaysia","Iraq","2013","530","530","530","530"
"Malaysia","Islamic Rep. of Iran","2013","197","197","197","197"
"Malaysia","Jordan","2013","4","4","4","4"
"Malaysia","Kenya","2013","3","3","3","3"
"Malaysia","Kuwait","2013","1","1","1","1"
"Malaysia","Lao People's Dem. Rep.","2013","0","0","1","1"
"Malaysia","Lebanon","2013","1","1","1","1"
"Malaysia","Liberia","2013","14","14","14","14"
"Malaysia","Mali","2013","3","3","3","3"
"Malaysia","Myanmar","2013","92263","92263","92287","92287"
"Malaysia","Nepal","2013","5","5","7","7"
"Malaysia","Nigeria","2013","2","2","2","2"
"Malaysia","Pakistan","2013","152","152","154","154"
"Malaysia","Philippines","2013","0","0","7","7"
"Malaysia","Russian Federation","2013","4","4","4","4"
"Malaysia","Rwanda","2013","1","1","1","1"
"Malaysia","Sierra Leone","2013","3","3","3","3"
"Malaysia","Somalia","2013","930","930","930","930"
"Malaysia","Sri Lanka","2013","1810","1810","1811","1811"
"Malaysia","State of Palestine","2013","241","241","241","241"
"Malaysia","Sudan","2013","85","85","85","85"
"Malaysia","Syrian Arab Rep.","2013","101","101","101","101"
"Malaysia","Thailand","2013","3","3","8","8"
"Malaysia","Tibetans","2013","0","0","0","0"
"Malaysia","United Arab Emirates","2013","2","2","2","2"
"Malaysia","Viet Nam","2013","10","10","11","11"
"Malaysia","Western Sahara","2013","1","1","1","1"
"Malaysia","Yemen","2013","36","36","36","36"
"Malaysia","Zimbabwe","2013","2","2","2","2"
"Mali","Burundi","2013","25","25","25","25"
"Mali","Central African Rep.","2013","19","19","19","19"
"Mali","Congo","2013","29","29","29","29"
"Mali","Côte d'Ivoire","2013","1110","626","1110","626"
"Mali","Dem. Rep. of the Congo","2013","195","195","195","195"
"Mali","Guinea","2013","3","3","3","3"
"Mali","Liberia","2013","0","0","0","0"
"Mali","Mauritania","2013","12897","12897","12897","12897"
"Mali","Rwanda","2013","30","30","30","30"
"Mali","Togo","2013","7","7","7","7"
"Mali","Tunisia","2013","1","1","1","1"
"Malta","Bangladesh","2013","5","0","5","0"
"Malta","Cameroon","2013","5","0","5","0"
"Malta","Chad","2013","4","0","4","0"
"Malta","China","2013","3","0","3","0"
"Malta","Côte d'Ivoire","2013","12","0","12","0"
"Malta","Dem. Rep. of the Congo","2013","2","0","2","0"
"Malta","Egypt","2013","13","0","13","0"
"Malta","Eritrea","2013","2212","0","2212","0"
"Malta","Ethiopia","2013","92","0","92","0"
"Malta","Georgia","2013","3","0","3","0"
"Malta","Ghana","2013","1","0","1","0"
"Malta","India","2013","1","0","1","0"
"Malta","Iraq","2013","23","0","23","0"
"Malta","Islamic Rep. of Iran","2013","3","0","3","0"
"Malta","Kazakhstan","2013","1","0","1","0"
"Malta","Liberia","2013","0","0","0","0"
"Malta","Libya","2013","180","0","180","0"
"Malta","Mali","2013","7","0","7","0"
"Malta","Morocco","2013","9","0","9","0"
"Malta","Myanmar","2013","1","0","1","0"
"Malta","Nepal","2013","1","0","1","0"
"Malta","Nigeria","2013","21","0","21","0"
"Malta","Pakistan","2013","42","0","42","0"
"Malta","Saudi Arabia","2013","1","0","1","0"
"Malta","Serbia (and Kosovo: S/RES/1244 (1999))","2013","1","0","1","0"
"Malta","Somalia","2013","5543","0","5543","0"
"Malta","Sri Lanka","2013","7","0","7","0"
"Malta","State of Palestine","2013","19","0","19","0"
"Malta","Sudan","2013","294","0","294","0"
"Malta","Syrian Arab Rep.","2013","776","0","776","0"
"Malta","Togo","2013","2","0","2","0"
"Malta","Tunisia","2013","4","0","4","0"
"Malta","Turkey","2013","1","0","1","0"
"Malta","Turkmenistan","2013","2","0","2","0"
"Malta","Various","2013","615","0","615","0"
"Mauritania","Cameroon","2013","1","1","1","1"
"Mauritania","Central African Rep.","2013","2","2","2","2"
"Mauritania","Chad","2013","4","4","4","4"
"Mauritania","Congo","2013","8","8","8","8"
"Mauritania","Côte d'Ivoire","2013","226","226","226","226"
"Mauritania","Dem. Rep. of the Congo","2013","48","48","48","48"
"Mauritania","Guinea","2013","3","3","3","3"
"Mauritania","Iraq","2013","23","23","23","23"
"Mauritania","Liberia","2013","1","1","1","1"
"Mauritania","Mali","2013","66393","66393","66393","66393"
"Mauritania","Senegal","2013","3","3","3","3"
"Mauritania","Somalia","2013","1","1","1","1"
"Mauritania","State of Palestine","2013","16","16","16","16"
"Mauritania","Sudan","2013","5","5","5","5"
"Mauritania","Syrian Arab Rep.","2013","5","5","5","5"
"Mauritania","Togo","2013","27","27","27","27"
"Mauritania","Tunisia","2013","0","0","0","0"
"Mauritania","Western Sahara","2013","1","1","26001","1"
"Mexico","Afghanistan","2013","2","0","2","0"
"Mexico","Albania","2013","4","0","4","0"
"Mexico","Algeria","2013","1","0","1","0"
"Mexico","Angola","2013","3","0","3","0"
"Mexico","Bangladesh","2013","4","0","4","0"
"Mexico","Belize","2013","1","0","1","0"
"Mexico","Bolivia (Plurinational State of)","2013","1","0","1","0"
"Mexico","Brazil","2013","1","0","1","0"
"Mexico","Burundi","2013","1","0","1","0"
"Mexico","Cameroon","2013","13","2","13","2"
"Mexico","Chile","2013","2","1","2","1"
"Mexico","China","2013","5","0","5","0"
"Mexico","Colombia","2013","255","33","255","33"
"Mexico","Congo","2013","17","4","17","4"
"Mexico","Côte d'Ivoire","2013","4","2","4","2"
"Mexico","Cuba","2013","43","2","43","2"
"Mexico","Dem. Rep. of the Congo","2013","59","10","59","10"
"Mexico","Dominican Rep.","2013","8","0","8","0"
"Mexico","Ecuador","2013","1","0","1","0"
"Mexico","Egypt","2013","2","0","2","0"
"Mexico","El Salvador","2013","418","60","418","60"
"Mexico","Eritrea","2013","7","2","7","2"
"Mexico","Ethiopia","2013","5","0","5","0"
"Mexico","Ghana","2013","4","1","4","1"
"Mexico","Guatemala","2013","324","35","324","35"
"Mexico","Guinea","2013","1","0","1","0"
"Mexico","Haiti","2013","175","15","175","15"
"Mexico","Honduras","2013","288","65","288","65"
"Mexico","India","2013","9","2","9","2"
"Mexico","Indonesia","2013","1","1","1","1"
"Mexico","Iraq","2013","31","2","31","2"
"Mexico","Islamic Rep. of Iran","2013","25","8","25","8"
"Mexico","Jamaica","2013","2","1","2","1"
"Mexico","Jordan","2013","1","1","1","1"
"Mexico","Lebanon","2013","1","0","1","0"
"Mexico","Libya","2013","1","1","1","1"
"Mexico","Morocco","2013","1","0","1","0"
"Mexico","Nicaragua","2013","14","5","14","5"
"Mexico","Nigeria","2013","18","11","18","11"
"Mexico","Pakistan","2013","4","2","4","2"
"Mexico","Peru","2013","10","2","10","2"
"Mexico","Romania","2013","7","0","7","0"
"Mexico","Russian Federation","2013","6","1","6","1"
"Mexico","Rwanda","2013","1","0","1","0"
"Mexico","Serbia (and Kosovo: S/RES/1244 (1999))","2013","2","0","2","0"
"Mexico","Sierra Leone","2013","1","0","1","0"
"Mexico","South Africa","2013","1","0","1","0"
"Mexico","Sri Lanka","2013","19","3","19","3"
"Mexico","State of Palestine","2013","3","0","3","0"
"Mexico","Syrian Arab Rep.","2013","13","11","13","11"
"Mexico","The former Yugoslav Rep. of Macedonia","2013","1","0","1","0"
"Mexico","Venezuela (Bolivarian Republic of)","2013","10","3","10","3"
"Monaco","Various","2013","34","0","34","0"
"Mongolia","Afghanistan","2013","1","1","1","1"
"Mongolia","China","2013","8","8","8","8"
"Montenegro","Belarus","2013","1","1","1","1"
"Montenegro","Bosnia and Herzegovina","2013","1048","1048","1048","1048"
"Montenegro","Croatia","2013","456","456","456","456"
"Montenegro","Iraq","2013","1","1","1","1"
"Montenegro","Morocco","2013","2","2","2","2"
"Montenegro","Serbia (and Kosovo: S/RES/1244 (1999))","2013","6967","6967","6967","6967"
"Montenegro","Yemen","2013","1","1","1","1"
"Morocco","Afghanistan","2013","1","1","1","1"
"Morocco","Algeria","2013","1","1","1","1"
"Morocco","Cameroon","2013","14","14","14","14"
"Morocco","Central African Rep.","2013","3","3","3","3"
"Morocco","Chad","2013","1","1","1","1"
"Morocco","China","2013","1","1","1","1"
"Morocco","Congo","2013","5","5","5","5"
"Morocco","Côte d'Ivoire","2013","291","291","291","291"
"Morocco","Dem. Rep. of the Congo","2013","126","126","126","126"
"Morocco","Eritrea","2013","1","1","1","1"
"Morocco","Gambia","2013","1","1","1","1"
"Morocco","Ghana","2013","1","1","1","1"
"Morocco","Guinea","2013","4","4","4","4"
"Morocco","Iraq","2013","100","100","100","100"
"Morocco","Islamic Rep. of Iran","2013","2","2","2","2"
"Morocco","Liberia","2013","1","1","1","1"
"Morocco","Niger","2013","1","1","1","1"
"Morocco","Nigeria","2013","5","5","5","5"
"Morocco","Pakistan","2013","0","0","0","0"
"Morocco","Rwanda","2013","1","1","1","1"
"Morocco","Senegal","2013","9","9","9","9"
"Morocco","Sierra Leone","2013","1","1","1","1"
"Morocco","Somalia","2013","1","1","1","1"
"Morocco","Sri Lanka","2013","0","0","0","0"
"Morocco","State of Palestine","2013","37","37","37","37"
"Morocco","Sudan","2013","3","3","3","3"
"Morocco","Syrian Arab Rep.","2013","856","856","856","856"
"Morocco","Togo","2013","2","2","2","2"
"Morocco","Tunisia","2013","1","1","1","1"
"Morocco","Uganda","2013","0","0","0","0"
"Mozambique","Afghanistan","2013","1","0","1","0"
"Mozambique","Angola","2013","3","2","3","2"
"Mozambique","Burundi","2013","965","292","965","292"
"Mozambique","Congo","2013","12","7","12","7"
"Mozambique","Cuba","2013","1","0","1","0"
"Mozambique","Dem. Rep. of the Congo","2013","2578","1865","2578","1865"
"Mozambique","Ethiopia","2013","2","2","2","2"
"Mozambique","Liberia","2013","1","0","1","0"
"Mozambique","Madagascar","2013","0","0","0","0"
"Mozambique","Rwanda","2013","785","176","785","176"
"Mozambique","Sierra Leone","2013","1","0","1","0"
"Mozambique","Somalia","2013","88","0","88","0"
"Mozambique","Sudan","2013","5","0","5","0"
"Mozambique","Uganda","2013","3","0","3","0"
"Myanmar","Cambodia","2013","0","0","0","0"
"Namibia","Angola","2013","0","0","0","0"
"Namibia","Burundi","2013","245","245","245","245"
"Namibia","Cameroon","2013","5","5","5","5"
"Namibia","Central African Rep.","2013","2","2","2","2"
"Namibia","Congo","2013","3","3","3","3"
"Namibia","Dem. Rep. of the Congo","2013","1900","1900","1900","1900"
"Namibia","Eritrea","2013","2","2","2","2"
"Namibia","Ethiopia","2013","6","6","6","6"
"Namibia","Mali","2013","1","1","1","1"
"Namibia","Rwanda","2013","120","120","120","120"
"Namibia","Somalia","2013","7","7","7","7"
"Namibia","South Sudan","2013","2","2","2","2"
"Namibia","Sudan","2013","3","3","3","3"
"Namibia","Uganda","2013","4","4","4","4"
"Namibia","Zimbabwe","2013","32","32","32","32"
"Nepal","Afghanistan","2013","2","2","2","2"
"Nepal","Bangladesh","2013","2","2","2","2"
"Nepal","Bhutan","2013","30977","30977","30977","30977"
"Nepal","Dem. Rep. of the Congo","2013","4","4","4","4"
"Nepal","Egypt","2013","1","1","1","1"
"Nepal","Iraq","2013","3","3","3","3"
"Nepal","Islamic Rep. of Iran","2013","5","5","5","5"
"Nepal","Myanmar","2013","85","85","85","85"
"Nepal","Pakistan","2013","180","180","180","180"
"Nepal","Somalia","2013","33","33","33","33"
"Nepal","Sri Lanka","2013","13","13","13","13"
"Nepal","Tibetans","2013","15000","0","15000","0"
"Netherlands","Afghanistan","2013","6269","0","6269","0"
"Netherlands","Albania","2013","17","0","17","0"
"Netherlands","Algeria","2013","32","0","32","0"
"Netherlands","Andorra","2013","1","0","1","0"
"Netherlands","Angola","2013","485","0","485","0"
"Netherlands","Armenia","2013","845","0","845","0"
"Netherlands","Azerbaijan","2013","1260","0","1260","0"
"Netherlands","Bangladesh","2013","41","0","41","0"
"Netherlands","Belarus","2013","107","0","107","0"
"Netherlands","Belgium","2013","1","0","1","0"
"Netherlands","Benin","2013","8","0","8","0"
"Netherlands","Bhutan","2013","210","0","210","0"
